,Branch,Call Purpose,Time Block,Incoming or Outgoing,Queue,Rep ID,Sale,Lost Call,Abandoned,Busy Minutes,Not Ready Minutes,Incoming Wait Time,During Call Wait Time,Calls
0,North,Complaint,9:00 AM,Incoming,B,Brent,NO,0,1,9,2,1.0,4,1
5,North,Sales Support,11:00 AM,Incoming,A,Cam,NO,0,0,11,1,1.0,3,1
6,North,Sales Support,11:00 AM,Incoming,B,Todd,NO,0,0,9,3,1.0,3,1
9,North,Sales Support,4:00 PM,Incoming,B,Brent,NO,0,0,11,2,1.0,4,1
12,North,Product Support,12:00 PM,Incoming,B,Brent,NO,0,0,8,2,1.0,4,1
13,North,Product Support,2:00 PM,Incoming,B,Duke,NO,0,0,12,2,1.0,2,1
15,North,Product Support,2:00 PM,Incoming,A,Joe,NO,0,0,8,1,1.0,3,1
16,North,Product Support,2:00 PM,Incoming,B,Lilly,NO,0,0,11,2,1.0,3,1
19,North,Product Support,3:00 PM,Incoming,B,Duke,NO,0,0,12,2,1.0,4,1
20,North,Product Support,3:00 PM,Incoming,A,Cam,NO,0,0,11,3,1.0,4,1
21,North,Product Support,4:00 PM,Incoming,A,Joe,NO,0,0,11,3,1.0,4,1
23,North,Product Support,4:00 PM,Incoming,A,Amanda,NO,0,0,10,3,1.0,2,1
25,North,Product Support,4:00 PM,Incoming,B,Todd,NO,0,0,12,2,1.0,3,1
28,North,Complaint,9:00 AM,Incoming,B,Duke,NO,0,0,9,2,1.0,4,1
30,North,Complaint,12:00 PM,Incoming,B,Brent,NO,0,0,8,2,1.0,4,1
34,North,Complaint,1:00 PM,Incoming,B,Duke,NO,0,0,12,1,1.0,3,1
35,North,Complaint,3:00 PM,Incoming,B,Brent,NO,0,0,9,3,1.0,3,1
38,North,Complaint,2:00 PM,Incoming,A,Andy,NO,0,1,9,3,2.0,4,1
40,North,Sales Support,10:00 AM,Incoming,B,Duke,NO,0,0,12,2,2.0,2,1
41,North,Sales Support,10:00 AM,Incoming,B,Lilly,YES ,0,0,11,2,2.0,4,1
43,North,Sales Support,11:00 AM,Incoming,B,Lilly,NO,0,0,10,2,2.0,4,1
45,North,Sales Support,12:00 PM,Incoming,B,Duke,NO,0,0,9,2,2.0,2,1
47,North,Sales Support,1:00 PM,Incoming,A,Andy,NO,0,0,9,2,2.0,2,1
48,North,Sales Support,1:00 PM,Incoming,B,Brent,NO,0,0,10,2,2.0,3,1
53,North,Product Support,12:00 PM,Incoming,A,Amanda,NO,0,0,11,1,2.0,3,1
55,North,Product Support,1:00 PM,Incoming,A,Amanda,NO,0,0,8,2,2.0,3,1
57,North,Product Support,2:00 PM,Incoming,B,Lilly,NO,0,0,10,1,2.0,4,1
60,North,Product Support,3:00 PM,Incoming,B,Xander,NO,0,0,12,1,2.0,4,1
61,North,Product Support,3:00 PM,Incoming,A,Andy,NO,0,0,10,1,2.0,2,1
62,North,Product Support,3:00 PM,Incoming,A,Cam,NO,0,0,8,1,2.0,2,1
65,North,Product Support,4:00 PM,Incoming,B,Xander,NO,0,0,8,1,2.0,2,1
66,North,Product Support,4:00 PM,Incoming,A,Cam,NO,0,0,9,3,2.0,3,1
71,North,Complaint,12:00 PM,Incoming,A,Cam,NO,0,0,12,1,2.0,4,1
82,North,Sales Support,10:00 AM,Incoming,B,Lilly,NO,0,0,8,2,3.0,2,1
83,North,Sales Support,10:00 AM,Incoming,A,Amanda,NO,0,0,9,2,3.0,3,1
86,North,Sales Support,10:00 AM,Incoming,B,Duke,NO,0,0,8,2,3.0,4,1
89,North,Sales Support,11:00 AM,Incoming,A,Cam,NO,0,0,8,2,3.0,2,1
91,North,Sales Support,11:00 AM,Incoming,A,Joe,NO,0,0,12,3,3.0,4,1
96,North,Sales Support,12:00 PM,Incoming,B,Duke,NO,0,0,9,2,3.0,4,1
99,North,Sales Support,12:00 PM,Incoming,B,Lilly,NO,0,0,9,3,3.0,4,1
100,North,Sales Support,12:00 PM,Incoming,B,Lilly,YES,0,0,10,1,3.0,2,1
109,North,Product Support,3:00 PM,Incoming,B,Lilly,NO,0,0,10,2,3.0,4,1
112,North,Product Support,4:00 PM,Incoming,B,Duke,NO,0,0,10,1,3.0,3,1
115,North,Product Support,5:00 PM,Incoming,A,Andy,NO,0,0,8,2,3.0,3,1
119,North,Complaint,2:00 PM,Incoming,A,Cam,NO,0,0,10,2,3.0,2,1
122,North,Sales Support,10:00 AM,Incoming,B,Todd,NO,1,0,9,3,4.0,4,1
123,North,Sales Support,12:00 PM,Incoming,A,Andy,NO,0,1,12,1,4.0,4,1
126,North,Sales Support,10:00 AM,Incoming,A,Amanda,YES,0,0,10,3,4.0,3,1
128,North,Sales Support,11:00 AM,Incoming,A,Andy,NO,0,0,12,3,4.0,2,1
130,North,Sales Support,12:00 PM,Incoming,A,Joe,NO,0,0,10,1,4.0,3,1
135,North,Sales Support,12:00 PM,Incoming,A,Joe,NO,0,0,10,1,4.0,3,1
137,North,Sales Support,2:00 PM,Incoming,B,Duke,NO,0,0,8,2,4.0,2,1
138,North,Sales Support,2:00 PM,Incoming,B,Xander,NO,0,0,10,1,4.0,3,1
139,North,Sales Support,3:00 PM,Incoming,A,Andy,NO,0,0,12,1,4.0,3,1
142,North,Sales Support,4:00 PM,Incoming,B,Duke,NO,0,0,8,2,4.0,3,1
144,North,Product Support,10:00 AM,Incoming,A,Joe,NO,0,0,9,2,4.0,2,1
146,North,Product Support,11:00 AM,Incoming,A,Cam,NO,0,0,8,1,4.0,4,1
149,North,Product Support,2:00 PM,Incoming,B,Xander,NO,0,0,12,1,4.0,2,1
152,North,Product Support,3:00 PM,Incoming,B,Lilly,NO,0,0,12,2,4.0,2,1
160,North,Product Support,4:00 PM,Incoming,B,Xander,NO,0,0,11,3,4.0,4,1
162,North,Product Support,5:00 PM,Incoming,B,Duke,NO,0,0,10,1,4.0,2,1
164,North,Complaint,9:00 AM,Incoming,A,Joe,NO,0,0,10,2,4.0,3,1
165,North,Complaint,10:00 AM,Incoming,B,Lilly,NO,0,0,12,2,4.0,4,1
167,North,Complaint,12:00 PM,Incoming,B,Xander,NO,0,0,10,3,4.0,2,1
171,North,Complaint,5:00 PM,Incoming,A,Cam,NO,0,0,8,3,4.0,2,1
172,North,Sales Support,10:00 AM,Incoming,B,Brent,NO,0,0,8,1,5.0,4,1
175,North,Sales Support,10:00 AM,Incoming,A,Joe,NO,0,0,12,2,5.0,2,1
176,North,Sales Support,12:00 PM,Incoming,B,Todd,YES,0,0,9,3,5.0,4,1
177,North,Sales Support,12:00 PM,Incoming,B,Todd,NO,0,0,10,3,5.0,3,1
178,North,Sales Support,12:00 PM,Incoming,A,Andy,YES,0,0,10,1,5.0,2,1
181,North,Sales Support,3:00 PM,Incoming,B,Duke,NO,0,0,11,3,5.0,2,1
183,North,Product Support,12:00 PM,Incoming,B,Lilly,NO,0,0,11,3,5.0,3,1
184,North,Product Support,12:00 PM,Incoming,B,Brent,NO,0,0,9,2,5.0,4,1
185,North,Product Support,1:00 PM,Incoming,A,Joe,NO,0,0,9,2,5.0,4,1
187,North,Product Support,2:00 PM,Incoming,B,Todd,NO,0,0,9,1,5.0,4,1
191,North,Product Support,2:00 PM,Incoming,A,Andy,NO,0,0,9,1,5.0,4,1
192,North,Product Support,3:00 PM,Incoming,A,Andy,NO,0,0,9,1,5.0,2,1
193,North,Product Support,3:00 PM,Incoming,B,Duke,NO,0,0,8,3,5.0,2,1
194,North,Product Support,4:00 PM,Incoming,A,Cam,NO,0,0,11,2,5.0,2,1
199,North,Complaint,10:00 AM,Incoming,A,Joe,NO,0,0,10,2,5.0,2,1
201,North,Complaint,12:00 PM,Incoming,B,Lilly,NO,0,0,11,2,5.0,2,1
207,North,Complaint,5:00 PM,Incoming,A,Cam,NO,0,0,9,2,5.0,2,1
212,North,Sales Support,10:00 AM,Outgoing,A,Cam,NO,1,0,8,1,,2,1
213,North,Sales Support,10:00 AM,Outgoing,B,Duke,NO,1,0,10,2,,4,1
214,North,Sales Support,11:00 AM,Outgoing,B,Xander,NO,1,0,10,1,,4,1
218,North,Product Support,9:00 AM,Outgoing,B,Duke,NO,1,0,12,1,,2,1
222,North,Sales Support,10:00 AM,Outgoing,B,Lilly,YES,0,1,9,3,,4,1
223,North,Sales Support,10:00 AM,Outgoing,B,Lilly,YES,0,1,12,1,,4,1
226,North,Product Support,9:00 AM,Outgoing,A,Andy,NO,0,1,12,2,,2,1
227,North,Product Support,11:00 AM,Outgoing,A,Amanda,NO,0,1,11,2,,2,1
229,North,Sales Support,10:00 AM,Outgoing,B,Brent,NO,0,0,11,3,,4,1
232,North,Sales Support,10:00 AM,Outgoing,B,Todd,NO,0,0,10,2,,2,1
233,North,Sales Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,8,2,,2,1
234,North,Sales Support,10:00 AM,Outgoing,B,Todd,NO,0,0,8,2,,4,1
237,North,Sales Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,11,2,,2,1
239,North,Sales Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,9,1,,3,1
241,North,Sales Support,10:00 AM,Outgoing,A,Joe,NO,0,0,10,1,,4,1
242,North,Sales Support,10:00 AM,Outgoing,B,Todd,NO,0,0,9,3,,3,1
246,North,Sales Support,10:00 AM,Outgoing,B,Brent,NO,0,0,9,2,,2,1
251,North,Sales Support,10:00 AM,Outgoing,A,Andy,YES,0,0,12,2,,2,1
252,North,Sales Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,10,2,,2,1
255,North,Sales Support,10:00 AM,Outgoing,B,Xander,NO,0,0,10,1,,4,1
257,North,Sales Support,10:00 AM,Outgoing,B,Duke,NO,0,0,12,3,,4,1
259,North,Sales Support,10:00 AM,Outgoing,B,Brent,NO,0,0,10,3,,4,1
263,North,Sales Support,10:00 AM,Outgoing,B,Todd,NO,0,0,11,3,,3,1
265,North,Sales Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,11,2,,2,1
267,North,Sales Support,10:00 AM,Outgoing,B,Brent,NO,0,0,9,1,,3,1
274,North,Sales Support,11:00 AM,Outgoing,A,Amanda,NO,0,0,12,1,,2,1
275,North,Sales Support,11:00 AM,Outgoing,B,Lilly,YES,0,0,8,3,,2,1
282,North,Sales Support,11:00 AM,Outgoing,A,Cam,NO,0,0,12,2,,2,1
283,North,Sales Support,11:00 AM,Outgoing,A,Andy,NO,0,0,8,2,,2,1
284,North,Sales Support,11:00 AM,Outgoing,B,Brent,NO,0,0,10,1,,2,1
285,North,Sales Support,11:00 AM,Outgoing,B,Brent,NO,0,0,11,1,,3,1
288,North,Sales Support,12:00 PM,Outgoing,B,Brent,NO,0,0,9,1,,2,1
292,North,Sales Support,12:00 PM,Outgoing,A,Joe,NO,0,0,9,1,,4,1
294,North,Sales Support,12:00 PM,Outgoing,B,Xander,NO,0,0,11,2,,4,1
296,North,Sales Support,12:00 PM,Outgoing,B,Brent,NO,0,0,11,3,,4,1
298,North,Sales Support,12:00 PM,Outgoing,B,Lilly,NO,0,0,12,1,,3,1
301,North,Sales Support,12:00 PM,Outgoing,A,Joe,NO,0,0,8,3,,4,1
309,North,Sales Support,12:00 PM,Outgoing,B,Brent,NO,0,0,10,1,,2,1
311,North,Sales Support,1:00 PM,Outgoing,A,Andy,NO,0,0,12,3,,2,1
314,North,Sales Support,1:00 PM,Outgoing,B,Xander,NO,0,0,11,2,,2,1
316,North,Sales Support,1:00 PM,Outgoing,A,Amanda,NO,0,0,10,2,,3,1
317,North,Sales Support,1:00 PM,Outgoing,B,Todd,NO,0,0,12,3,,2,1
319,North,Sales Support,1:00 PM,Outgoing,A,Joe,NO,0,0,12,2,,4,1
321,North,Sales Support,1:00 PM,Outgoing,A,Joe,NO,0,0,12,1,,3,1
322,North,Sales Support,2:00 PM,Outgoing,B,Duke,NO,0,0,11,2,,4,1
323,North,Sales Support,2:00 PM,Outgoing,B,Duke,NO,0,0,9,3,,3,1
326,North,Sales Support,2:00 PM,Outgoing,B,Brent,NO,0,0,11,2,,4,1
327,North,Sales Support,2:00 PM,Outgoing,B,Todd,NO,0,0,12,3,,4,1
329,North,Sales Support,3:00 PM,Outgoing,B,Xander,NO,0,0,11,3,,2,1
331,North,Sales Support,4:00 PM,Outgoing,B,Brent,NO,0,0,8,1,,3,1
333,North,Sales Support,4:00 PM,Outgoing,A,Amanda,NO,0,0,9,2,,2,1
335,North,Sales Support,4:00 PM,Outgoing,B,Brent,NO,0,0,10,3,,4,1
337,North,Sales Support,5:00 PM,Outgoing,B,Brent,NO,0,0,8,1,,3,1
338,North,Sales Support,5:00 PM,Outgoing,B,Todd,NO,0,0,12,2,,4,1
339,North,Sales Support,5:00 PM,Outgoing,A,Andy,NO,0,0,12,2,,3,1
341,North,Product Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,9,1,,3,1
344,North,Product Support,10:00 AM,Outgoing,B,Xander,NO,0,0,12,3,,2,1
345,North,Product Support,10:00 AM,Outgoing,B,Lilly,NO,0,0,12,3,,2,1
347,North,Product Support,10:00 AM,Outgoing,B,Brent,NO,0,0,10,2,,2,1
349,North,Product Support,10:00 AM,Outgoing,B,Xander,NO,0,0,10,3,,2,1
351,North,Product Support,10:00 AM,Outgoing,B,Todd,NO,0,0,12,1,,4,1
352,North,Product Support,10:00 AM,Outgoing,A,Joe,NO,0,0,8,3,,3,1
353,North,Product Support,10:00 AM,Outgoing,B,Lilly,NO,0,0,11,1,,4,1
355,North,Product Support,10:00 AM,Outgoing,A,Amanda,NO,0,0,8,2,,4,1
356,North,Product Support,10:00 AM,Outgoing,B,Brent,NO,0,0,12,3,,4,1
359,North,Product Support,11:00 AM,Outgoing,B,Lilly,NO,0,0,11,1,,2,1
364,North,Product Support,11:00 AM,Outgoing,A,Amanda,NO,0,0,10,2,,2,1
365,North,Product Support,11:00 AM,Outgoing,B,Duke,NO,0,0,12,2,,4,1
366,North,Product Support,11:00 AM,Outgoing,A,Joe,NO,0,0,9,2,,3,1
368,North,Product Support,11:00 AM,Outgoing,B,Todd,NO,0,0,12,1,,2,1
369,North,Product Support,11:00 AM,Outgoing,B,Xander,NO,0,0,9,3,,2,1
370,North,Product Support,11:00 AM,Outgoing,B,Lilly,NO,0,0,8,1,,3,1
371,North,Product Support,11:00 AM,Outgoing,A,Cam,NO,0,0,11,2,,3,1
372,North,Product Support,11:00 AM,Outgoing,B,Brent,NO,0,0,12,2,,3,1
375,North,Product Support,11:00 AM,Outgoing,A,Joe,NO,0,0,10,1,,4,1
380,North,Product Support,12:00 PM,Outgoing,B,Lilly,NO,0,0,11,1,,2,1
383,North,Product Support,12:00 PM,Outgoing,B,Todd,NO,0,0,8,2,,4,1
386,North,Product Support,12:00 PM,Outgoing,A,Cam,NO,0,0,8,3,,4,1
387,North,Product Support,12:00 PM,Outgoing,A,Andy,NO,0,0,11,1,,4,1
390,North,Product Support,12:00 PM,Outgoing,B,Duke,NO,0,0,12,1,,3,1
391,North,Product Support,12:00 PM,Outgoing,B,Lilly,NO,0,0,12,3,,4,1
397,North,Product Support,12:00 PM,Outgoing,A,Andy,NO,0,0,9,2,,3,1
399,North,Product Support,12:00 PM,Outgoing,A,Cam,NO,0,0,8,1,,2,1
400,North,Product Support,12:00 PM,Outgoing,B,Lilly,NO,0,0,9,1,,2,1
401,North,Product Support,12:00 PM,Outgoing,B,Xander,NO,0,0,9,2,,2,1
404,North,Product Support,12:00 PM,Outgoing,B,Brent,NO,0,0,12,2,,3,1
412,North,Product Support,12:00 PM,Outgoing,B,Lilly,NO,0,0,8,3,,4,1
413,North,Product Support,12:00 PM,Outgoing,A,Amanda,NO,0,0,10,3,,3,1
415,North,Product Support,12:00 PM,Outgoing,B,Xander,NO,0,0,9,2,,3,1
416,North,Product Support,12:00 PM,Outgoing,A,Andy,NO,0,0,10,2,,3,1
420,North,Product Support,12:00 PM,Outgoing,A,Amanda,NO,0,0,11,2,,4,1
421,North,Product Support,12:00 PM,Outgoing,B,Xander,NO,0,0,10,1,,2,1
423,North,Product Support,12:00 PM,Outgoing,A,Cam,NO,0,0,12,2,,4,1
425,North,Product Support,12:00 PM,Outgoing,A,Andy,NO,0,0,8,3,,4,1
426,North,Product Support,12:00 PM,Outgoing,B,Duke,NO,0,0,9,2,,3,1
428,North,Product Support,1:00 PM,Outgoing,A,Joe,NO,0,0,10,2,,2,1
431,North,Product Support,1:00 PM,Outgoing,B,Lilly,NO,0,0,10,2,,2,1
433,North,Product Support,1:00 PM,Outgoing,B,Todd,NO,0,0,8,1,,4,1
434,North,Product Support,1:00 PM,Outgoing,A,Amanda,NO,0,0,12,1,,3,1
437,North,Product Support,1:00 PM,Outgoing,B,Brent,NO,0,0,10,2,,2,1
439,North,Product Support,1:00 PM,Outgoing,B,Todd,NO,0,0,11,2,,2,1
445,North,Product Support,2:00 PM,Outgoing,A,Cam,NO,0,0,10,3,,3,1
446,North,Product Support,2:00 PM,Outgoing,A,Cam,NO,0,0,8,2,,3,1
447,North,Product Support,2:00 PM,Outgoing,A,Andy,NO,0,0,8,1,,4,1
448,North,Product Support,2:00 PM,Outgoing,B,Todd,NO,0,0,9,1,,4,1
451,North,Product Support,2:00 PM,Outgoing,A,Amanda,NO,0,0,10,2,,3,1
452,North,Product Support,2:00 PM,Outgoing,A,Andy,NO,0,0,8,3,,3,1
453,North,Product Support,2:00 PM,Outgoing,B,Duke,NO,0,0,10,3,,4,1
455,North,Product Support,2:00 PM,Outgoing,B,Brent,NO,0,0,10,1,,3,1
457,North,Product Support,2:00 PM,Outgoing,A,Andy,NO,0,0,10,3,,2,1
